epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6733,0.84572,1.16887,2.22902,0.005,1.55474,0.70279,0.74286,0.78365,0.56703,0.70472,0.7449,0.78232,0.5845,0.95618,1.12627,1.01548,0.0074,0,0.000663793,0.000663793,0.000663793
2,131.044,1.04756,1.24894,1.11575,0.0064,1.00043,0.81553,0.71837,0.81519,0.56608,0.79893,0.70408,0.79376,0.5556,1.10052,1.47215,1.02294,0.00863,0,0.00132607,0.00132607,0.00132607
3,187.171,1.23312,1.46367,1.13231,0.00805,1.05268,0.85359,0.79716,0.88742,0.60262,0.81544,0.76122,0.83378,0.5685,1.17429,1.64798,0.76272,0.00952,0,0.00198395,0.00198395,0.00198395
4,263.464,1.19351,1.3969,0.9885,0.00783,0.91108,0.7574,0.80816,0.84064,0.55913,0.75548,0.80612,0.83811,0.56855,1.19425,1.42045,0.95257,0.00983,0,0.0019802,0.0019802,0.0019802
5,346.204,1.23543,1.49597,1.11945,0.00775,0.95565,0.80495,0.77483,0.85976,0.59118,0.79843,0.76798,0.84978,0.60314,1.18071,1.47267,0.79984,0.00962,0,0.0019736,0.0019736,0.0019736
6,432.832,1.15836,1.47115,0.96551,0.00738,0.91325,0.81752,0.80204,0.87099,0.61986,0.82482,0.80718,0.86973,0.63261,1.07295,1.24568,0.7658,0.00835,0,0.001967,0.001967,0.001967
7,519.311,1.13541,1.32668,0.92314,0.0072,0.91884,0.82912,0.86147,0.91588,0.66371,0.82886,0.8599,0.9119,0.68213,1.03254,1.17712,0.64582,0.00839,0,0.0019604,0.0019604,0.0019604
8,603.74,1.13256,1.27527,0.93526,0.00693,0.86117,0.77747,0.78367,0.85252,0.62197,0.77897,0.78571,0.85212,0.652,1.04387,1.14568,0.86841,0.00805,0,0.0019538,0.0019538,0.0019538
9,690.707,1.09979,1.22582,0.83123,0.00683,0.77017,0.68059,0.73926,0.75409,0.48704,0.68999,0.74946,0.76361,0.53309,1.28552,1.35092,1.39705,0.01068,0,0.0019472,0.0019472,0.0019472
10,776.74,1.17353,1.27312,0.89185,0.00731,0.83018,0.84061,0.88255,0.92083,0.66842,0.84782,0.87549,0.91568,0.70359,1.02836,1.1347,0.61085,0.00835,0,0.0019406,0.0019406,0.0019406
11,864.395,1.06445,1.18639,0.79815,0.00625,0.77087,0.86189,0.85306,0.93143,0.66898,0.86518,0.85127,0.92736,0.71187,1.02779,1.04399,0.62924,0.00767,0,0.001934,0.001934,0.001934
12,951.146,1.13931,1.21108,0.82132,0.00686,0.83584,0.85085,0.86327,0.92719,0.64092,0.85085,0.86327,0.9258,0.71012,1.11722,0.9927,0.70139,0.00906,0,0.0019274,0.0019274,0.0019274
13,1037.24,1.11183,1.19872,0.81846,0.00664,0.75216,0.87312,0.85669,0.92341,0.6836,0.87142,0.85753,0.9249,0.73857,0.99353,0.98683,0.60207,0.00799,0,0.0019208,0.0019208,0.0019208
14,1125.99,1.08468,1.17527,0.83877,0.00672,0.7436,0.82307,0.89239,0.92708,0.6804,0.84539,0.86122,0.92483,0.70498,1.01653,0.99502,0.65856,0.00805,0,0.0019142,0.0019142,0.0019142
15,1211.76,1.06501,1.18842,0.80418,0.0067,0.78027,0.87859,0.81429,0.90265,0.67164,0.85697,0.84082,0.9117,0.69162,0.97702,1.07803,0.65547,0.00782,0,0.0019076,0.0019076,0.0019076
16,1299.78,1.02442,1.10824,0.736,0.00616,0.59462,0.87499,0.81421,0.90781,0.67454,0.8836,0.80556,0.90514,0.73435,0.97818,0.95994,0.62569,0.00778,0,0.001901,0.001901,0.001901
17,1388.45,1.01782,1.09667,0.7549,0.00618,0.73392,0.83161,0.9,0.92715,0.67726,0.83834,0.9,0.92713,0.74627,0.99257,0.96854,0.6279,0.00774,0,0.0018944,0.0018944,0.0018944
18,1476.72,1.01338,1.07897,0.70981,0.00635,0.69974,0.86694,0.90417,0.94998,0.71739,0.86303,0.90009,0.94733,0.7576,0.92308,0.93063,0.49556,0.0071,0,0.0018878,0.0018878,0.0018878
19,1561.36,0.99805,1.07672,0.6971,0.00585,0.64548,0.87413,0.86452,0.93431,0.71419,0.88096,0.8609,0.9306,0.7425,0.90116,0.93151,0.54328,0.00703,0,0.0018812,0.0018812,0.0018812
20,1648.05,1.03708,1.13091,0.7616,0.00633,0.70264,0.85224,0.85918,0.91735,0.68733,0.85368,0.85918,0.91452,0.73377,0.9721,0.95179,0.6151,0.00782,0,0.0018746,0.0018746,0.0018746
21,1735.6,1.00066,1.05428,0.69934,0.00624,0.64187,0.86778,0.87551,0.93245,0.71793,0.87182,0.87959,0.93584,0.76727,0.87994,0.81632,0.57319,0.00691,0,0.001868,0.001868,0.001868
22,1823.13,1.00767,1.07317,0.73695,0.00616,0.66531,0.86297,0.88683,0.9423,0.71509,0.86694,0.89091,0.94312,0.77134,0.95766,0.86044,0.57106,0.00783,0,0.0018614,0.0018614,0.0018614
23,1908.31,0.98218,1.02662,0.80073,0.00589,0.72778,0.74921,0.75918,0.80871,0.58631,0.74101,0.77347,0.81807,0.6192,1.03255,1.11485,0.89206,0.00804,0,0.0018548,0.0018548,0.0018548
24,1995.62,1.04855,1.06247,0.7568,0.00639,0.69102,0.85374,0.82857,0.91792,0.69692,0.85374,0.82857,0.91364,0.72413,0.88914,0.92823,0.72547,0.00711,0,0.0018482,0.0018482,0.0018482
25,2083.45,0.98544,1.04856,0.72068,0.00574,0.63931,0.84804,0.89973,0.91839,0.70515,0.84996,0.90177,0.92397,0.74599,0.90535,0.86515,0.58405,0.00738,0,0.0018416,0.0018416,0.0018416
26,2171.66,0.98065,1.07798,0.64621,0.00571,0.65189,0.86482,0.89388,0.93988,0.6991,0.87651,0.89184,0.9411,0.72469,0.97726,0.96475,0.56947,0.00771,0,0.001835,0.001835,0.001835
27,2257.12,1.05188,1.12207,0.67018,0.00629,0.6522,0.84973,0.87959,0.92211,0.68146,0.85564,0.88571,0.92861,0.72948,0.9588,1.00234,0.63844,0.00755,0,0.0018284,0.0018284,0.0018284
28,2342.86,0.99282,1.12663,0.68152,0.00592,0.59084,0.88745,0.88163,0.94874,0.72647,0.88246,0.87959,0.94165,0.74992,0.88106,0.93753,0.52633,0.00691,0,0.0018218,0.0018218,0.0018218
29,2428.34,0.9901,1.03902,0.67612,0.00589,0.67086,0.87272,0.88163,0.93856,0.72068,0.88866,0.87958,0.95034,0.77017,0.89712,0.88516,0.48796,0.00695,0,0.0018152,0.0018152,0.0018152
30,2515.1,0.9862,1.06376,0.72153,0.006,0.73119,0.86143,0.92041,0.95568,0.72261,0.86334,0.92245,0.95655,0.75965,0.9252,0.89228,0.52691,0.00727,0,0.0018086,0.0018086,0.0018086
31,2601.55,0.94895,1.0215,0.65319,0.00566,0.58648,0.85635,0.89592,0.9421,0.72684,0.86073,0.89796,0.94462,0.79304,0.90656,0.85603,0.55554,0.00731,0,0.001802,0.001802,0.001802
32,2686.34,1.00054,1.02452,0.68907,0.0058,0.63469,0.8459,0.88163,0.93257,0.72793,0.84395,0.87959,0.93158,0.7711,0.87344,0.86063,0.78596,0.00669,0,0.0017954,0.0017954,0.0017954
33,2773.37,0.93057,0.99012,0.65246,0.0054,0.6276,0.89496,0.86938,0.9421,0.73912,0.90115,0.87446,0.94755,0.77779,0.87408,0.84207,0.51863,0.00692,0,0.0017888,0.0017888,0.0017888
34,2858.39,0.94836,1.03811,0.67586,0.00571,0.62509,0.8295,0.89184,0.91651,0.7017,0.84596,0.87423,0.92378,0.7208,0.90126,0.9217,0.69108,0.00728,0,0.0017822,0.0017822,0.0017822
35,2943.57,0.9695,1.05257,0.68527,0.00566,0.60615,0.87758,0.87782,0.93916,0.72631,0.87962,0.87986,0.94351,0.76149,0.876,0.85562,0.52097,0.00677,0,0.0017756,0.0017756,0.0017756
36,3029.75,0.91101,0.97705,0.59906,0.00521,0.50234,0.86785,0.91633,0.94983,0.74212,0.87727,0.92653,0.95657,0.78669,0.84588,0.83635,0.49171,0.00638,0,0.001769,0.001769,0.001769
37,3115.1,0.90233,0.92759,0.58877,0.0053,0.53604,0.9068,0.91633,0.96015,0.7502,0.89175,0.92245,0.96714,0.7994,0.82346,0.81642,0.48327,0.00639,0,0.0017624,0.0017624,0.0017624
38,3202.32,0.94211,0.96945,0.6506,0.00542,0.53915,0.92873,0.88163,0.9514,0.73382,0.93088,0.88367,0.95737,0.78219,0.87454,0.82262,0.48581,0.00643,0,0.0017558,0.0017558,0.0017558
39,3287.74,0.90285,0.99809,0.66056,0.00527,0.51148,0.87791,0.93673,0.96053,0.76757,0.87982,0.93878,0.96443,0.81023,0.78691,0.77232,0.41298,0.00599,0,0.0017492,0.0017492,0.0017492
40,3373.5,0.88924,0.9552,0.60183,0.0053,0.46799,0.90525,0.92653,0.96875,0.75144,0.90725,0.92857,0.97219,0.79985,0.8502,0.77797,0.48674,0.00634,0,0.0017426,0.0017426,0.0017426
41,3460.2,0.94955,0.93164,0.58469,0.00569,0.49114,0.91267,0.89574,0.95307,0.74174,0.9189,0.90186,0.96142,0.79242,0.88399,0.83497,0.4707,0.00709,0,0.001736,0.001736,0.001736
42,3545.77,0.89361,0.92738,0.56343,0.00505,0.51802,0.89118,0.91837,0.95287,0.75828,0.89232,0.92041,0.95998,0.80766,0.82154,0.79143,0.50019,0.00623,0,0.0017294,0.0017294,0.0017294
43,3631.22,0.87653,0.90487,0.57061,0.005,0.46065,0.87712,0.93469,0.96266,0.7749,0.88669,0.9449,0.9718,0.8097,0.77392,0.76931,0.43661,0.00597,0,0.0017228,0.0017228,0.0017228
44,3719.21,0.91805,0.94427,0.58229,0.00534,0.48973,0.90435,0.92245,0.96217,0.75062,0.90435,0.92245,0.96378,0.81313,0.8581,0.79015,0.46133,0.00658,0,0.0017162,0.0017162,0.0017162
45,3806.07,0.91104,0.913,0.57694,0.00532,0.486,0.88327,0.94082,0.95055,0.74475,0.8871,0.9449,0.9547,0.79329,0.88501,0.75295,0.45358,0.00697,0,0.0017096,0.0017096,0.0017096
46,3891.74,0.87266,0.91066,0.59154,0.00515,0.51147,0.89896,0.90612,0.95331,0.75952,0.90504,0.91224,0.96446,0.80978,0.81419,0.78721,0.43225,0.00641,0,0.001703,0.001703,0.001703
47,3980.42,0.8893,0.91265,0.56401,0.00523,0.43497,0.90339,0.91596,0.96244,0.76819,0.9054,0.918,0.96346,0.82573,0.8145,0.75271,0.43454,0.0061,0,0.0016964,0.0016964,0.0016964
48,4064.48,0.92264,0.92498,0.57971,0.0054,0.5253,0.89578,0.91224,0.94365,0.75441,0.89578,0.91224,0.94896,0.79303,0.81132,0.76286,0.49674,0.0063,0,0.0016898,0.0016898,0.0016898
49,4150.05,0.88835,0.91954,0.57551,0.00507,0.48201,0.92818,0.90816,0.95939,0.76143,0.9322,0.9102,0.95866,0.80697,0.80938,0.77313,0.43923,0.00626,0,0.0016832,0.0016832,0.0016832
50,4238.46,0.86151,0.90383,0.56044,0.00481,0.52253,0.88733,0.94831,0.96678,0.78693,0.88733,0.94831,0.96706,0.82138,0.75384,0.8165,0.41093,0.00555,0,0.0016766,0.0016766,0.0016766
51,4326.98,0.84758,0.89658,0.58129,0.00487,0.55925,0.90679,0.94286,0.97069,0.77494,0.91683,0.93878,0.97143,0.84025,0.80478,0.66247,0.41267,0.00598,0,0.00167,0.00167,0.00167
52,4412.71,0.86713,0.90289,0.56341,0.00491,0.48031,0.91847,0.91969,0.95916,0.76573,0.9225,0.92307,0.96318,0.82029,0.79719,0.75046,0.45934,0.00606,0,0.0016634,0.0016634,0.0016634
53,4498.67,0.84542,0.88381,0.52557,0.00485,0.40482,0.90211,0.91224,0.96326,0.76882,0.90163,0.91654,0.96669,0.82028,0.79531,0.72656,0.44319,0.00601,0,0.0016568,0.0016568,0.0016568
54,4584.49,0.86006,0.87776,0.54703,0.00497,0.47823,0.89987,0.93061,0.96403,0.77502,0.90185,0.93265,0.96613,0.82738,0.80385,0.73957,0.42826,0.0061,0,0.0016502,0.0016502,0.0016502
55,4671.37,0.86898,0.93143,0.56116,0.00492,0.47135,0.89277,0.91756,0.95758,0.75404,0.88132,0.93964,0.95788,0.81952,0.82747,0.70825,0.45275,0.0063,0,0.0016436,0.0016436,0.0016436
56,4755.17,0.85336,0.8937,0.56072,0.00483,0.44279,0.90736,0.91224,0.96076,0.78537,0.89644,0.92857,0.9631,0.82413,0.75884,0.7018,0.39795,0.00584,0,0.001637,0.001637,0.001637
